Matnr,Spras,Maktx
000000000010000296,EN,Level Radar Transmitter DN150 SIEMENS
000000000030000066,EN,Flotation Cell Impeller TYPE B FLSM
000000000010000297,EN,Ball Mill Trunnion Bearing 8/6 ABB
000000000010000298,EN,Conveyor Take-Up Pulley HD ABB
000000000010000299,EN,Soft Starter Power Module 6/4 SIEMENS
000000000010000300,EN,Level Radar Transmitter 6/4 SANDVIK
000000000010000301,EN,Gearbox Bearing TYPE A MULTOTEC
000000000010000302,EN,Flotation Blower Motor DN150 FLSM
000000000080000074,EN,Thickener Rake Drive Gearbox 250MM SEW
000000000010000303,EN,Thickener Rake Drive Gearbox 110KW METSO
000000000080000075,EN,Conveyor Idler Roller Set DN150 WEIR
000000000010000304,EN,Apron Feeder Gear Reducer DN100 SEW
000000000090000016,EN,Variable Speed Drive Unit 250KW SEW
000000000090000017,EN,Apron Feeder Gear Reducer 8/6 KSB
000000000010000305,EN,Conveyor Drive Motor 200MM ABB
000000000010000306,EN,Flotation Blower Motor 6/4 SKF
000000000010000307,EN,Ball Mill Trunnion Bearing TYPE A KSB
000000000080000076,EN,Screen Exciter Bearing 6/4 MULTOTEC
000000000030000067,EN,Cyclone Apex Liner TYPE A METSO
000000000010000308,EN,Agitator Shaft Seal TYPE A SIEMENS
000000000030000068,EN,Slurry Pump Mechanical Seal 250KW
000000000010000309,EN,Mill Lube Pump Motor 150MM METSO
000000000080000077,EN,Cyclone Apex Liner TYPE A SKF
000000000010000310,EN,Conveyor Pulley Bearing 55KW SANDVIK
000000000080000078,EN,Conveyor Take-Up Pulley 250MM METSO
000000000010000311,EN,Gland Packing Seal Ring TYPE B SKF
000000000030000069,EN,Slurry Pump Wet End Assembly 6/4 ABB
000000000030000070,EN,Conveyor Take-Up Pulley 10/8 KSB
000000000010000312,EN,Variable Speed Drive Unit 10/8 SANDVIK
000000000010000313,EN,Conveyor Drive Motor 10/8 METSO
000000000010000314,EN,Level Radar Transmitter 55KW ABB
000000000080000079,EN,Conveyor Drive Motor DN100 WEIR
000000000010000315,EN,Ventilation Fan Motor 6/4 SKF
000000000010000316,EN,Apron Feeder Gear Reducer 150MM SKF
000000000010000317,EN,Conveyor Drive Motor 250MM MULTOTEC
000000000010000318,EN,Thickener Rake Seal Kit 55KW SKF
000000000010000319,EN,Hydraulic Pump Assembly 150MM SIEMENS
000000000010000320,EN,Conveyor Take-Up Pulley HD MULTOTEC
000000000080000080,EN,Flotation Cell Impeller 150MM MULTOTEC
000000000010000321,EN,Soft Starter Power Module DN100 ABB
000000000010000322,EN,Variable Speed Drive Unit DN150 FLSM
000000000010000323,EN,Gland Packing Seal Ring 250KW MULTOTEC
000000000010000324,EN,Belt Scraper Blade Cartridge DN100
000000000080000081,EN,Slurry Pump Mechanical Seal 8/6 SKF
000000000030000071,EN,Mill Lube Pump Motor 55KW WEIR
000000000010000325,EN,Gland Packing Seal Ring 250MM FLSM
000000000010000326,EN,Crusher Main Shaft Bearing TYPE A SKF
000000000030000072,EN,Mill Lube Pump Motor 250KW SKF
000000000010000327,EN,Pressure Transmitter Assembly DN100 KSB
000000000030000073,EN,Cyclone Apex Liner TYPE A SIEMENS
000000000010000328,EN,Crusher Hydroset Cylinder 55KW SANDVIK
000000000010000329,EN,Hydraulic Power Pack 55KW MULTOTEC
000000000010000330,EN,Conveyor Drive Gearbox TYPE B KSB
000000000010000331,EN,Pump Impeller 150MM FLSM
000000000010000332,EN,Slurry Pump Mechanical Seal HD METSO
000000000030000074,EN,PLC Digital Output Card DN150 ABB
000000000010000333,EN,Ventilation Fan Motor TYPE B METSO
000000000080000082,EN,Gland Packing Seal Ring 200MM MULTOTEC
000000000030000075,EN,Vertical Sump Pump Column 55KW KSB
000000000010000334,EN,Flotation Blower Motor 6/4 KSB
000000000010000335,EN,Ball Mill Shell Liner Plate 250KW SKF
000000000010000336,EN,Conveyor Drive Motor TYPE A SIEMENS
000000000010000337,EN,Valve Assembly 150MM MULTOTEC
000000000010000338,EN,Vertical Sump Pump Column TYPE A KSB
000000000010000339,EN,Pump Impeller 150MM KSB
000000000030000076,EN,Slurry Pump Wet End Assembly HD MULTOTEC
000000000010000340,EN,Vertical Sump Pump Column 6/4 FLSM
000000000090000018,EN,Ball Mill Trunnion Bearing 6/4 SANDVIK
000000000010000341,EN,PLC Digital Output Card 10/8 ABB
000000000030000077,EN,Thickener Rake Seal Kit 250KW SANDVIK
000000000010000342,EN,Ball Mill Gearbox Assembly 150MM
000000000010000343,EN,Level Radar Transmitter TYPE A SIEMENS
000000000090000019,EN,Conveyor Pulley Bearing HD SKF
000000000010000344,EN,Ball Mill Shell Liner Plate 8/6 MULTOTEC
000000000010000345,EN,Pump Impeller 250KW WEIR
000000000030000078,EN,Hydraulic Pump Assembly 10/8 MULTOTEC
000000000080000083,EN,Soft Starter Power Module 6/4 KSB
000000000010000346,EN,Conveyor Drive Gearbox 8/6 SANDVIK
000000000010000347,EN,Flow Meter Sensor Head 6/4 MULTOTEC
000000000010000348,EN,Gland Packing Seal Ring DN150 MULTOTEC
000000000030000079,EN,Conveyor Take-Up Pulley DN150 ABB
000000000010000349,EN,PLC Digital Output Card 250KW FLSM
000000000010000350,EN,Ventilation Fan Motor TYPE B SEW
000000000030000080,EN,Thickener Rake Seal Kit DN150 SIEMENS
000000000010000351,EN,Crusher Hydroset Cylinder DN150 SEW
000000000090000020,EN,Centrifugal Pump Casing HD KSB
000000000010000352,EN,Slurry Pump Mechanical Seal 8/6 FLSM
000000000010000353,EN,Crusher Hydroset Cylinder 110KW KSB
000000000010000354,EN,Thickener Rake Seal Kit TYPE A WEIR
000000000010000355,EN,Ball Mill Shell Liner Plate DN150 WEIR
000000000010000356,EN,Flow Meter Sensor Head TYPE A FLSM
000000000010000357,EN,Conveyor Idler Roller Set DN100 MULTOTEC
000000000010000358,EN,Apron Feeder Gear Reducer TYPE B METSO
000000000080000084,EN,Centrifugal Pump Casing 55KW SKF
000000000010000359,EN,Slurry Density Transmitter 8/6 ABB
000000000010000360,EN,Soft Starter Power Module TYPE B SANDVIK
000000000010000361,EN,Ventilation Fan Motor DN100 SANDVIK
000000000010000362,EN,Slurry Density Transmitter 10/8 WEIR
000000000010000363,EN,Level Radar Transmitter 55KW METSO
000000000010000364,EN,Level Radar Transmitter 200MM WEIR
000000000010000365,EN,Cyclone Apex Liner TYPE B MULTOTEC
000000000010000366,EN,Belt Scraper Blade Cartridge TYPE A FLSM
000000000080000085,EN,Flotation Blower Motor 250KW SANDVIK
000000000010000367,EN,Flow Meter Sensor Head DN150 SIEMENS
000000000030000081,EN,Valve Assembly 6/4 SANDVIK
000000000010000368,EN,Variable Speed Drive Unit 200MM MULTOTEC
000000000010000369,EN,Screen Exciter Bearing 10/8 METSO
000000000010000370,EN,Vertical Sump Pump Column 6/4 MULTOTEC
000000000030000082,EN,Slurry Density Transmitter 110KW ABB
000000000080000086,EN,Belt Scraper Blade Cartridge DN100 METSO
000000000010000371,EN,Mill Lube Pump Motor 250KW KSB
000000000080000087,EN,Vertical Sump Pump Column DN150 SEW
000000000010000372,EN,Flotation Blower Motor 250MM MULTOTEC
000000000010000373,EN,Conveyor Take-Up Pulley 150MM KSB
000000000080000088,EN,Hydraulic Power Pack 150MM SEW
000000000010000374,EN,Skirt Rubber Liner Section 6/4 MULTOTEC
000000000010000375,EN,Slurry Density Transmitter HD KSB
000000000030000083,EN,Flotation Cell Impeller 250KW SIEMENS
000000000010000376,EN,Flow Meter Sensor Head DN150 SANDVIK
000000000010000377,EN,Hydraulic Power Pack 6/4 SIEMENS
000000000010000378,EN,Conveyor Pulley Bearing 55KW SKF
000000000010000379,EN,Pressure Transmitter Assembly DN100
000000000010000380,EN,Ball Mill Shell Liner Plate TYPE A WEIR
000000000010000381,EN,Ball Mill Gearbox Assembly 55KW METSO
000000000030000084,EN,Skirt Rubber Liner Section TYPE B ABB
000000000010000382,EN,Slurry Density Transmitter 8/6 SEW
000000000010000383,EN,Pressure Transmitter Assembly DN150
000000000010000384,EN,Conveyor Drive Gearbox TYPE A SKF
000000000030000085,EN,Centrifugal Pump Casing 110KW SIEMENS
000000000080000089,EN,Level Radar Transmitter DN100 FLSM
000000000080000090,EN,Centrifugal Pump Casing 150MM ABB
000000000010000385,EN,Conveyor Pulley Bearing 200MM WEIR
000000000030000086,EN,Centrifugal Pump Casing TYPE A ABB
000000000030000087,EN,Slurry Density Transmitter 250MM WEIR
000000000010000386,EN,Cyclone Apex Liner 8/6 SANDVIK
000000000010000387,EN,PLC Digital Output Card 150MM KSB
000000000090000021,EN,PLC Digital Output Card DN100 MULTOTEC
000000000080000091,EN,Flotation Cell Impeller 250KW KSB
000000000010000388,EN,Thickener Rake Drive Gearbox HD ABB
000000000010000389,EN,Level Radar Transmitter TYPE B FLSM
000000000010000390,EN,Apron Feeder Gear Reducer 110KW ABB
000000000080000092,EN,Pressure Transmitter Assembly HD SEW
000000000030000088,EN,Centrifugal Pump Casing 250MM MULTOTEC
000000000010000391,EN,Flotation Cell Impeller 10/8 WEIR
000000000010000392,EN,Skirt Rubber Liner Section TYPE B SKF
000000000010000393,EN,Conveyor Idler Roller Set 10/8 KSB
000000000010000394,EN,Ball Mill Shell Liner Plate 6/4 SEW
000000000010000395,EN,Slurry Pump Wet End Assembly 6/4
000000000030000089,EN,Cyclone Apex Liner DN100 SIEMENS
000000000010000396,EN,Slurry Pump Wet End Assembly TYPE B WEIR
000000000090000022,EN,Flotation Cell Impeller 10/8 WEIR
000000000030000090,EN,Ball Mill Trunnion Bearing TYPE B SKF
000000000010000397,EN,Pump Impeller 200MM METSO
000000000010000398,EN,Agitator Shaft Seal HD ABB
000000000010000399,EN,Variable Speed Drive Unit 110KW SKF
000000000010000400,EN,Ball Mill Shell Liner Plate 8/6 SEW
000000000010000401,EN,Thickener Rake Seal Kit 200MM WEIR
000000000080000093,EN,Centrifugal Pump Casing 55KW MULTOTEC
000000000010000402,EN,Slurry Pump Mechanical Seal 6/4 WEIR
000000000010000403,EN,Conveyor Pulley Bearing 250MM FLSM
000000000010000404,EN,Ball Mill Gearbox Assembly 150MM KSB
000000000080000094,EN,Mill Lube Pump Motor DN150 MULTOTEC
000000000010000405,EN,Level Radar Transmitter DN150 SKF
000000000030000091,EN,Conveyor Drive Gearbox 10/8 SKF
000000000010000406,EN,Flow Meter Sensor Head HD KSB
000000000030000092,EN,Ball Mill Trunnion Bearing TYPE A SEW
000000000010000407,EN,Soft Starter Power Module 200MM KSB
000000000030000093,EN,Crusher Hydroset Cylinder 110KW SANDVIK
000000000080000095,EN,Ball Mill Shell Liner Plate 10/8
000000000010000408,EN,Screen Exciter Bearing 250KW KSB
000000000080000096,EN,Screen Exciter Bearing 150MM KSB
000000000010000409,EN,Slurry Pump Mechanical Seal 250MM KSB
000000000080000097,EN,PLC Digital Output Card 200MM WEIR
000000000010000410,EN,Level Radar Transmitter 6/4 FLSM
000000000010000411,EN,Conveyor Drive Gearbox DN150 SEW
000000000030000094,EN,Ball Mill Gearbox Assembly 55KW SKF
000000000080000098,EN,Vertical Sump Pump Column 110KW WEIR
000000000010000412,EN,Agitator Shaft Seal DN100 SANDVIK
000000000010000413,EN,Thickener Rake Seal Kit TYPE B SEW
000000000030000095,EN,Soft Starter Power Module DN150 KSB
000000000010000414,EN,Conveyor Drive Gearbox 6/4 KSB
000000000010000415,EN,Flow Meter Sensor Head DN100 KSB
000000000010000416,EN,Vertical Sump Pump Column 150MM FLSM
000000000010000417,EN,Belt Scraper Blade Cartridge HD KSB
000000000080000099,EN,Mill Liner TYPE B FLSM
000000000010000418,EN,Flow Meter Sensor Head 10/8 SEW
000000000010000419,EN,Mill Liner DN150 METSO
000000000010000420,EN,MCC Feeder Circuit Breaker DN100 SEW
000000000010000421,EN,Cyclone Apex Liner 6/4 WEIR
000000000010000422,EN,Vertical Sump Pump Column 150MM FLSM
000000000010000423,EN,Hydraulic Pump Assembly 6/4 ABB
000000000080000100,EN,Ventilation Fan Motor 110KW KSB
000000000010000424,EN,Ball Mill Gearbox Assembly TYPE A METSO
000000000010000425,EN,Mill Liner 10/8 METSO
000000000010000426,EN,Hydraulic Power Pack 200MM SKF
000000000010000427,EN,Conveyor Drive Gearbox 55KW SANDVIK
000000000010000428,EN,Hydraulic Power Pack TYPE A SKF
000000000010000429,EN,Conveyor Drive Motor DN100 METSO
000000000030000096,EN,Ball Mill Gearbox Assembly 250MM SANDVIK
000000000030000097,EN,Cyclone Apex Liner 200MM METSO
000000000010000430,EN,MCC Feeder Circuit Breaker 6/4 ABB
000000000010000431,EN,Ball Mill Gearbox Assembly 250MM
000000000010000432,EN,Vertical Sump Pump Column 150MM SANDVIK
000000000010000433,EN,Gearbox Bearing HD SEW
000000000010000434,EN,Pressure Transmitter Assembly HD
000000000010000435,EN,Skirt Rubber Liner Section 55KW WEIR
000000000010000436,EN,Cyclone Apex Liner TYPE A SANDVIK
000000000010000437,EN,Conveyor Pulley Bearing 250MM SKF
000000000010000438,EN,Conveyor Drive Gearbox TYPE B ABB
000000000010000439,EN,Flow Meter Sensor Head DN100 SEW
000000000080000101,EN,Conveyor Pulley Bearing HD FLSM
000000000010000440,EN,Cyclone Apex Liner 200MM ABB
000000000010000441,EN,Pump Impeller TYPE A SANDVIK
000000000030000098,EN,Spherical Roller Bearing 200MM KSB
000000000080000102,EN,Conveyor Idler Roller Set 250MM ABB
000000000030000099,EN,Flotation Cell Impeller 200MM KSB
000000000030000100,EN,Conveyor Drive Gearbox TYPE B FLSM
000000000080000103,EN,Mill Liner 55KW METSO
000000000010000442,EN,Centrifugal Pump Casing 150MM MULTOTEC
000000000090000023,EN,Flotation Cell Impeller 8/6 SEW
000000000030000101,EN,Ball Mill Shell Liner Plate 110KW SKF
000000000080000104,EN,Crusher Main Shaft Bearing HD KSB
000000000010000443,EN,Spherical Roller Bearing TYPE B SEW
000000000030000102,EN,Soft Starter Power Module TYPE A METSO
000000000080000105,EN,Gearbox Bearing TYPE A SIEMENS
000000000010000444,EN,Crusher Hydroset Cylinder TYPE B WEIR
000000000030000103,EN,Belt Scraper Blade Cartridge 55KW SKF
000000000010000445,EN,Soft Starter Power Module HD KSB
000000000010000446,EN,Slurry Pump Wet End Assembly TYPE B
000000000010000447,EN,Skirt Rubber Liner Section 200MM ABB
000000000010000448,EN,Apron Feeder Gear Reducer 55KW SANDVIK
000000000010000449,EN,Ball Mill Gearbox Assembly 55KW
000000000010000450,EN,Variable Speed Drive Unit 6/4 METSO
000000000010000451,EN,PLC Digital Output Card 55KW SANDVIK
000000000080000106,EN,MCC Feeder Circuit Breaker TYPE B KSB
000000000010000452,EN,Hydraulic Pump Assembly 8/6 KSB
000000000010000453,EN,Ball Mill Trunnion Bearing 150MM FLSM
000000000030000104,EN,Mill Lube Pump Motor 200MM SIEMENS
000000000010000454,EN,Vertical Sump Pump Column 200MM SEW
000000000010000455,EN,Agitator Shaft Seal 250MM SIEMENS
000000000030000105,EN,Thickener Rake Seal Kit 55KW SEW
000000000010000456,EN,Ventilation Fan Motor 55KW KSB
000000000010000457,EN,Agitator Shaft Seal TYPE B METSO
000000000010000458,EN,Apron Feeder Gear Reducer DN100 WEIR
000000000090000024,EN,MCC Feeder Circuit Breaker DN150 ABB
000000000010000459,EN,Thickener Rake Seal Kit TYPE B ABB
000000000010000460,EN,Pressure Transmitter Assembly 6/4 KSB
000000000010000461,EN,Agitator Shaft Seal HD METSO
000000000010000462,EN,Centrifugal Pump Casing DN100 SANDVIK
000000000010000463,EN,Crusher Hydroset Cylinder DN150 SANDVIK
000000000010000464,EN,Belt Scraper Blade Cartridge DN100 SEW
000000000010000465,EN,Hydraulic Pump Assembly 200MM MULTOTEC
000000000010000466,EN,Belt Scraper Blade Cartridge TYPE A
000000000010000467,EN,Apron Feeder Gear Reducer 250KW SEW
000000000080000107,EN,Flotation Blower Motor 55KW FLSM
000000000010000468,EN,Conveyor Idler Roller Set 110KW METSO
000000000010000469,EN,Ball Mill Shell Liner Plate HD SEW
000000000010000470,EN,Conveyor Drive Gearbox TYPE A SKF
000000000010000471,EN,Ball Mill Trunnion Bearing DN100 SEW
000000000080000108,EN,Cyclone Apex Liner 6/4 ABB
000000000010000472,EN,Conveyor Take-Up Pulley DN100 FLSM
000000000080000109,EN,Cyclone Apex Liner 8/6 SKF
000000000010000473,EN,Slurry Pump Mechanical Seal 150MM METSO
000000000080000110,EN,Conveyor Take-Up Pulley 8/6 WEIR
000000000030000106,EN,Flotation Cell Impeller TYPE B METSO
000000000080000111,EN,Agitator Shaft Seal HD METSO
000000000010000474,EN,Vertical Sump Pump Column 6/4 ABB
000000000010000475,EN,Crusher Hydroset Cylinder 150MM SANDVIK
000000000010000476,EN,Variable Speed Drive Unit 110KW ABB
000000000030000107,EN,Ball Mill Shell Liner Plate 250KW SEW
000000000010000477,EN,Conveyor Idler Roller Set 250MM KSB
000000000010000478,EN,Conveyor Take-Up Pulley 150MM ABB
000000000010000479,EN,Screen Exciter Bearing DN100 WEIR
000000000010000480,EN,Gland Packing Seal Ring 110KW FLSM
000000000010000481,EN,Belt Scraper Blade Cartridge DN150
000000000010000482,EN,Conveyor Pulley Bearing 250MM FLSM
000000000030000108,EN,Ball Mill Gearbox Assembly 10/8 SKF
000000000010000483,EN,Mill Lube Pump Motor DN100 FLSM
000000000010000484,EN,Slurry Density Transmitter 150MM ABB
000000000010000485,EN,Agitator Shaft Seal 6/4 SEW
000000000010000486,EN,Pressure Transmitter Assembly 250MM KSB
000000000010000487,EN,Vertical Sump Pump Column DN100 SANDVIK
000000000030000109,EN,Conveyor Take-Up Pulley 250KW SIEMENS
000000000010000488,EN,Hydraulic Power Pack 6/4 KSB
000000000010000489,EN,Crusher Hydroset Cylinder 110KW SKF
000000000010000490,EN,Ventilation Fan Motor 10/8 MULTOTEC
000000000010000491,EN,MCC Feeder Circuit Breaker 110KW SEW
000000000010000492,EN,Mill Liner 150MM MULTOTEC
000000000010000493,EN,MCC Feeder Circuit Breaker HD
000000000010000494,EN,Variable Speed Drive Unit 10/8 SIEMENS
000000000080000112,EN,Centrifugal Pump Casing 250MM SKF
000000000010000495,EN,Soft Starter Power Module TYPE B KSB
000000000030000110,EN,Mill Liner 200MM WEIR
000000000010000496,EN,Conveyor Drive Motor 8/6 ABB
000000000010000497,EN,Conveyor Drive Gearbox 150MM MULTOTEC
000000000010000498,EN,Screen Exciter Bearing 110KW SEW
000000000090000025,EN,Flow Meter Sensor Head 6/4 SIEMENS
000000000010000499,EN,Screen Exciter Bearing 8/6 ABB
000000000010000500,EN,Spherical Roller Bearing 55KW METSO
000000000010000501,EN,Slurry Density Transmitter 55KW METSO
000000000030000111,EN,Thickener Rake Drive Gearbox 150MM METSO
000000000010000502,EN,Mill Lube Pump Motor 10/8 WEIR
000000000010000503,EN,Conveyor Idler Roller Set TYPE B SIEMENS
000000000010000504,EN,Soft Starter Power Module 8/6 SIEMENS
000000000010000505,EN,Slurry Pump Wet End Assembly 10/8
000000000010000506,EN,Pressure Transmitter Assembly 6/4
000000000010000507,EN,Hydraulic Pump Assembly 55KW SANDVIK
000000000010000508,EN,Flow Meter Sensor Head 150MM WEIR
000000000010000509,EN,Thickener Rake Seal Kit 200MM SKF
000000000010000510,EN,Pressure Transmitter Assembly 6/4 SEW
000000000010000511,EN,Belt Scraper Blade Cartridge 6/4 SEW
000000000090000026,EN,Hydraulic Power Pack HD MULTOTEC
000000000030000112,EN,Flotation Cell Impeller DN100 SANDVIK
000000000010000512,EN,Flotation Blower Motor 8/6 SANDVIK
000000000030000113,EN,Conveyor Drive Gearbox HD ABB
000000000010000513,EN,Centrifugal Pump Casing DN150 SEW
000000000010000514,EN,Ball Mill Shell Liner Plate 250KW SEW
000000000080000113,EN,Conveyor Drive Gearbox 110KW MULTOTEC
000000000010000515,EN,Conveyor Take-Up Pulley 150MM MULTOTEC
000000000010000516,EN,Belt Scraper Blade Cartridge 250KW METSO
000000000010000517,EN,Hydraulic Pump Assembly 8/6 KSB
000000000080000114,EN,Gearbox Bearing TYPE B MULTOTEC
000000000010000518,EN,Conveyor Drive Motor DN150 KSB
000000000030000114,EN,Apron Feeder Gear Reducer DN100 ABB
000000000090000027,EN,Thickener Rake Drive Gearbox 150MM SEW
000000000010000519,EN,MCC Feeder Circuit Breaker 8/6 MULTOTEC
000000000010000520,EN,Agitator Shaft Seal 250KW KSB
000000000010000521,EN,Conveyor Pulley Bearing DN150 METSO
000000000010000522,EN,Conveyor Drive Gearbox 6/4 ABB
000000000010000523,EN,Conveyor Drive Motor TYPE B METSO
000000000010000524,EN,MCC Feeder Circuit Breaker 250MM SKF
000000000010000525,EN,Conveyor Take-Up Pulley 250KW METSO
000000000010000526,EN,Gland Packing Seal Ring 10/8 KSB
000000000010000527,EN,PLC Digital Output Card DN150 WEIR
000000000090000028,EN,Conveyor Take-Up Pulley TYPE B SKF
000000000030000115,EN,Skirt Rubber Liner Section DN100 SEW
000000000010000528,EN,Vertical Sump Pump Column 150MM ABB
000000000010000529,EN,Hydraulic Pump Assembly 110KW SEW
000000000010000530,EN,Mill Lube Pump Motor 150MM WEIR
000000000010000531,EN,Thickener Rake Drive Gearbox DN100 FLSM
000000000010000532,EN,Thickener Rake Drive Gearbox 150MM SEW
000000000010000533,EN,Slurry Density Transmitter DN150 SANDVIK
000000000080000115,EN,Conveyor Drive Gearbox 8/6 METSO
000000000010000534,EN,Conveyor Drive Motor 6/4 SIEMENS
000000000010000535,EN,Conveyor Pulley Bearing 8/6 WEIR
000000000030000116,EN,Variable Speed Drive Unit 110KW FLSM
000000000080000116,EN,Gearbox Bearing DN150 WEIR
000000000030000117,EN,Vertical Sump Pump Column DN100 SIEMENS
000000000080000117,EN,Hydraulic Pump Assembly DN100 MULTOTEC
000000000010000536,EN,Slurry Density Transmitter DN150 SKF
000000000010000537,EN,Flotation Blower Motor DN150 SKF
000000000010000538,EN,Conveyor Pulley Bearing 8/6 ABB
000000000030000118,EN,Ball Mill Gearbox Assembly 6/4 SKF
000000000010000539,EN,Variable Speed Drive Unit 150MM WEIR
000000000030000119,EN,Agitator Shaft Seal HD SIEMENS
000000000080000118,EN,Hydraulic Power Pack 6/4 SIEMENS
000000000010000540,EN,Centrifugal Pump Casing TYPE A SKF
000000000010000541,EN,Pump Impeller 6/4 FLSM
000000000010000542,EN,Screen Exciter Bearing 6/4 SKF
000000000010000543,EN,Crusher Hydroset Cylinder 6/4 SANDVIK
000000000030000120,EN,Thickener Rake Seal Kit DN150 KSB
000000000030000121,EN,Ventilation Fan Motor 55KW WEIR
000000000080000119,EN,Crusher Main Shaft Bearing 8/6 SANDVIK
000000000010000544,EN,Ball Mill Shell Liner Plate 6/4 SANDVIK
000000000010000545,EN,Vertical Sump Pump Column 200MM KSB
000000000010000546,EN,Conveyor Drive Motor 150MM ABB
000000000010000547,EN,Ball Mill Gearbox Assembly DN150 SIEMENS
000000000030000122,EN,Crusher Hydroset Cylinder DN100 MULTOTEC
000000000080000120,EN,Slurry Pump Mechanical Seal 6/4 KSB
000000000030000123,EN,Conveyor Idler Roller Set 200MM SANDVIK
000000000080000121,EN,Variable Speed Drive Unit DN100 WEIR
000000000010000548,EN,Conveyor Drive Gearbox 200MM MULTOTEC
000000000030000124,EN,Conveyor Take-Up Pulley 200MM MULTOTEC
000000000010000549,EN,Thickener Rake Seal Kit 150MM ABB
000000000010000550,EN,Ball Mill Trunnion Bearing 10/8 SIEMENS
000000000030000125,EN,Pump Impeller 250KW SIEMENS
000000000010000551,EN,Centrifugal Pump Casing TYPE A SANDVIK
000000000030000126,EN,Belt Scraper Blade Cartridge 250MM FLSM
000000000010000552,EN,Slurry Density Transmitter 110KW METSO
000000000010000553,EN,Ball Mill Gearbox Assembly 10/8 KSB
000000000030000127,EN,Ventilation Fan Motor 250KW METSO
000000000010000554,EN,Apron Feeder Gear Reducer 200MM SKF
000000000010000555,EN,Ball Mill Gearbox Assembly 110KW METSO
000000000010000556,EN,Thickener Rake Drive Gearbox DN100 ABB
000000000010000557,EN,Flotation Cell Impeller DN100 WEIR
000000000010000558,EN,Ball Mill Gearbox Assembly 10/8 KSB
000000000010000559,EN,Slurry Density Transmitter TYPE A ABB
000000000010000560,EN,Ball Mill Gearbox Assembly TYPE B KSB
000000000080000122,EN,Ventilation Fan Motor 8/6 SANDVIK
000000000010000561,EN,Thickener Rake Seal Kit 110KW ABB
000000000010000562,EN,Valve Assembly TYPE B SANDVIK
000000000010000563,EN,Flow Meter Sensor Head DN150 ABB
000000000030000128,EN,Ventilation Fan Motor 8/6 WEIR
000000000080000123,EN,Ball Mill Trunnion Bearing 250KW WEIR
000000000090000029,EN,Hydraulic Pump Assembly 250KW SIEMENS
000000000090000030,EN,Variable Speed Drive Unit 55KW FLSM
000000000010000564,EN,Hydraulic Pump Assembly HD SANDVIK
000000000010000565,EN,Conveyor Drive Gearbox TYPE B KSB
000000000010000566,EN,MCC Feeder Circuit Breaker 10/8 SKF
000000000030000129,EN,Agitator Shaft Seal 55KW MULTOTEC
000000000080000124,EN,Mill Lube Pump Motor 200MM KSB
000000000010000567,EN,Soft Starter Power Module 200MM WEIR
000000000030000130,EN,Flow Meter Sensor Head 250MM WEIR
000000000010000568,EN,Conveyor Take-Up Pulley 200MM WEIR
000000000010000569,EN,Apron Feeder Gear Reducer DN100 KSB
000000000080000125,EN,Pump Impeller 8/6 KSB
000000000030000131,EN,Hydraulic Pump Assembly 55KW SANDVIK
000000000010000570,EN,Mill Liner 6/4 SANDVIK
000000000010000571,EN,Ball Mill Gearbox Assembly 200MM SEW
000000000010000572,EN,Ball Mill Gearbox Assembly TYPE B SKF
000000000010000573,EN,Soft Starter Power Module TYPE B KSB
000000000010000574,EN,Thickener Rake Seal Kit 250MM WEIR
000000000080000126,EN,Centrifugal Pump Casing TYPE B SIEMENS
000000000080000127,EN,Slurry Density Transmitter 200MM SKF
000000000030000132,EN,PLC Digital Output Card 110KW SEW
000000000010000575,EN,Mill Lube Pump Motor TYPE A SANDVIK
000000000030000133,EN,Vertical Sump Pump Column 6/4 MULTOTEC
000000000080000128,EN,Pressure Transmitter Assembly HD FLSM
000000000010000576,EN,Valve Assembly HD MULTOTEC
000000000080000129,EN,Agitator Shaft Seal 8/6 ABB
000000000010000577,EN,Ball Mill Shell Liner Plate 6/4 MULTOTEC
000000000010000578,EN,Apron Feeder Gear Reducer 250MM SANDVIK
000000000010000579,EN,Conveyor Drive Motor 150MM SANDVIK
000000000010000580,EN,Flotation Cell Impeller 110KW ABB
000000000010000581,EN,Ball Mill Shell Liner Plate 250MM KSB
000000000010000582,EN,Thickener Rake Seal Kit HD WEIR
000000000010000583,EN,MCC Feeder Circuit Breaker 10/8 ABB
000000000080000130,EN,Slurry Density Transmitter 10/8 SIEMENS
000000000010000584,EN,Apron Feeder Gear Reducer 6/4 ABB
000000000010000585,EN,Hydraulic Pump Assembly DN100 SANDVIK
000000000010000586,EN,Belt Scraper Blade Cartridge TYPE A FLSM
000000000010000587,EN,Pressure Transmitter Assembly DN100
000000000010000588,EN,Flotation Blower Motor DN100 SIEMENS
000000000010000589,EN,Hydraulic Pump Assembly 6/4 ABB
000000000080000131,EN,Apron Feeder Gear Reducer 200MM METSO
000000000090000031,EN,Level Radar Transmitter 55KW SIEMENS
000000000010000590,EN,Ball Mill Trunnion Bearing 8/6 SIEMENS
000000000010000591,EN,Flow Meter Sensor Head TYPE B WEIR
000000000090000032,EN,Conveyor Take-Up Pulley 110KW METSO
000000000010000592,EN,Conveyor Idler Roller Set 150MM WEIR
000000000080000132,EN,Screen Exciter Bearing 10/8 SANDVIK
000000000010000593,EN,Valve Assembly 150MM MULTOTEC
000000000030000134,EN,Hydraulic Pump Assembly DN150 ABB
000000000030000135,EN,Flow Meter Sensor Head DN150 FLSM
