id,material_code,description,material_group,material_type,plant,storage_location,unit_of_measure,criticality,lifecycle_status,service_code,manufacturer,manufacturer_part_no,last_po_price,last_vendor,stock_level,reorder_point,lead_time_days,repair_cost_factor,active,created_at,updated_at
78,500-10078,"Flotation Cell Stator, tank cell",Flotation Components,Flotation Cell Stator,BMM,BMM-WORKSHOP-STORE,EA,HIGH,Active,,Escarpment Electromechanical Works,MP-000078,45855.45,Escarpment Mining Equipment Traders (Pty) Ltd,0,0,45,,true,2026-08-26T10:18:35.097269+00:00,2026-08-26T10:18:35.097269+00:00
79,500-10079,"Flotation Cell Stator, small cell",Flotation Components,Flotation Cell Stator,Gamsberg,GSB-MINING-STORE,EA,HIGH,Active,,Namaqua Seal Technologies,MP-000079,67135.61,Lowveld Valve & Fittings (Pty) Ltd,23,24,7,,true,2026-08-26T10:18:35.097269+00:00,2026-08-26T10:18:35.097269+00:00
80,500-10080,"MCC Contactor, 32A, 3-pole",Electrical Spares,MCC Contactor,BMM,BMM-MAIN-WH,EA,HIGH,Obsolete,,Vaal Seal Technologies,MP-000080,3141.03,Sutherland Pump Solutions (Pty) Ltd,38,32,45,,true,2026-08-26T10:18:35.097269+00:00,2026-08-26T10:18:35.097269+00:00
81,500-10081,"Seal Support System, API Plan 32, shaft 50mm",Mechanical Seals,Seal Support System,Gamsberg,GSB-MINING-STORE,EA,HIGH,Active,,Namaqua Pump Manufacturing,MP-000081,50656.68,Springbok Engineering Supplies (Pty) Ltd,2,4,30,,true,2026-08-26T10:18:35.097269+00:00,2026-08-26T10:18:35.097269+00:00
82,80-10082,"Knife Gate Valve, 100mm (4""), rubber lined",Valves,Knife Gate Valve,BMM,BMM-PLANT-STORE,EA,HIGH,Active,,Vaal Bearing Works,MP-000082,9888.08,Bushveld Electromechanical Ltd (Pty) Ltd,37,35,7,0.38,true,2026-08-26T10:18:35.097269+00:00,2026-08-26T10:18:35.097269+00:00
83,80-10083,"SAG Mill Liner Plate, discharge grate, chrome-moly steel",Milling Components,SAG Mill Liner Plate,Gamsberg,GSB-MAIN-WH,EA,CRITICAL,Active,,Vaal Valve Foundry,MP-000083,104745.32,Northern Cape Seals & Sealing Systems (Pty) Ltd,19,13,60,0.449,true,2026-08-26T10:18:35.097269+00:00,2026-08-26T10:18:35.097269+00:00
84,500-10084,"SAG Mill Liner Plate, shell, chrome-moly steel",Milling Components,SAG Mill Liner Plate,BMM,BMM-MAIN-WH,EA,CRITICAL,Active,,Karoo Valve Foundry,MP-000084,121544.74,Kuruman Bearing & Drive Co (Pty) Ltd,29,26,14,,true,2026-08-26T10:18:35.097269+00:00,2026-08-26T10:18:35.097269+00:00
85,500-10085,"Cone Crusher Mantle, fine profile",Crusher Components,Cone Crusher Mantle,Gamsberg,GSB-PLANT-STORE,EA,CRITICAL,EOL,,Copperton Electromechanical Works,MP-000085,450256.99,Orange River Bearing & Drive Co (Pty) Ltd,22,17,45,,true,2026-08-26T10:18:35.097269+00:00,2026-08-26T10:18:35.097269+00:00
86,500-10086,"Slip Ring Induction Motor, 7.5kW, 6-pole",Motors,Slip Ring Induction Motor,BMM,BMM-WORKSHOP-STORE,EA,CRITICAL,Active,,Copperton Precision Engineering,MP-000086,315868.54,Waterberg Mining Equipment Traders (Pty) Ltd,31,34,10,,true,2026-08-26T10:18:35.097269+00:00,2026-08-26T10:18:35.097269+00:00
87,500-10087,"Flotation Cell Impeller, tank cell, rubber coated",Flotation Components,Flotation Cell Impeller,Gamsberg,GSB-MAIN-WH,EA,HIGH,Active,,Karoo Wear Parts Casting,MP-000087,51336.83,Lowveld Electromechanical Ltd (Pty) Ltd,15,13,45,,true,2026-08-26T10:18:35.097269+00:00,2026-08-26T10:18:35.097269+00:00
88,500-10088,"Circuit Breaker, MCCB, 400A",Electrical Spares,Circuit Breaker,BMM,BMM-WORKSHOP-STORE,EA,HIGH,Active,,Copperton Valve Foundry,MP-000088,19687.06,Vaal Mining Equipment Traders (Pty) Ltd,38,35,7,,true,2026-08-26T10:18:35.097269+00:00,2026-08-26T10:18:35.097269+00:00
89,500-10089,"Pillow Block Bearing Unit UCP250, 50mm shaft",Bearings,Pillow Block Bearing Unit UCP2,Gamsberg,GSB-PLANT-STORE,EA,MEDIUM,Active,,Copperton Pump Manufacturing,MP-000089,6670.1,Kuruman Bearing & Drive Co (Pty) Ltd,27,23,14,,true,2026-08-26T10:18:35.097269+00:00,2026-08-26T10:18:35.097269+00:00
90,500-10090,"Conveyor Belt, steel cord, 650mm width",Conveyor Components,Conveyor Belt,BMM,BMM-WORKSHOP-STORE,M,HIGH,Active,,Copperton Bearing Works,MP-000090,1393.43,Orange River Bearing & Drive Co (Pty) Ltd,385,380,60,,true,2026-08-26T10:18:35.097269+00:00,2026-08-26T10:18:35.097269+00:00
91,500-10091,"Power Cable, XLPE armoured, 4-core 70mm2",Electrical Spares,Power Cable,Gamsberg,GSB-MAIN-WH,M,MEDIUM,Active,,Copperton Seal Technologies,MP-000091,213.69,Orange River Bearing & Drive Co (Pty) Ltd,364,361,45,,true,2026-08-26T10:18:35.097269+00:00,2026-08-26T10:18:35.097269+00:00
92,500-10092,"Pinch Valve, 40mm (1.5""), slurry service",Valves,Pinch Valve,BMM,BMM-WORKSHOP-STORE,EA,HIGH,Active,,Namaqua Precision Engineering,MP-000092,27861.82,Lowveld Valve & Fittings (Pty) Ltd,5,4,14,,true,2026-08-26T10:18:35.097269+00:00,2026-08-26T10:18:35.097269+00:00
93,500-10093,"Pinch Valve, 150mm (6""), slurry service",Valves,Pinch Valve,Gamsberg,GSB-MINING-STORE,EA,HIGH,Active,,Sutherland Pump Manufacturing,MP-000093,35240.15,Aggeneys Mining Equipment Traders (Pty) Ltd,7,8,7,,true,2026-08-26T10:18:35.097269+00:00,2026-08-26T10:18:35.097269+00:00
94,500-10094,"Pillow Block Bearing Unit UCP230, 30mm shaft",Bearings,Pillow Block Bearing Unit UCP2,BMM,BMM-MAIN-WH,EA,MEDIUM,EOL,,Karoo Pump Manufacturing,MP-000094,7687.79,Vaal Mining Equipment Traders (Pty) Ltd,35,29,10,,true,2026-08-26T10:18:35.097269+00:00,2026-08-26T10:18:35.097269+00:00
95,500-10095,"Tapered Roller Bearing 32050, 50mm bore",Bearings,Tapered Roller Bearing 320,Gamsberg,GSB-MINING-STORE,EA,MEDIUM,EOL,,Namaqua Wear Parts Casting,MP-000095,6277.89,Lowveld Valve & Fittings (Pty) Ltd,12,7,45,,true,2026-08-26T10:18:35.097269+00:00,2026-08-26T10:18:35.097269+00:00
96,500-10096,"Circuit Breaker, MCCB, 100A",Electrical Spares,Circuit Breaker,BMM,BMM-WORKSHOP-STORE,EA,HIGH,Active,,Karoo Precision Engineering,MP-000096,33360.38,Upington Industrial Supplies (Pty) Ltd,13,15,45,,true,2026-08-26T10:18:35.097269+00:00,2026-08-26T10:18:35.097269+00:00
97,80-10097,"Motor Drive Coupling, elastomeric, rated for 7.5kW",Motors,Motor Drive Coupling,Gamsberg,GSB-MINING-STORE,EA,MEDIUM,EOL,,Namaqua Electromechanical Works,MP-000097,17926.94,Aggeneys Bearing & Drive Co (Pty) Ltd,23,28,45,0.328,true,2026-08-26T10:18:35.097269+00:00,2026-08-26T10:18:35.097269+00:00
98,500-10098,"Level Transmitter, ultrasonic, 0-15m range",Instrumentation,Level Transmitter,BMM,BMM-PLANT-STORE,EA,HIGH,Active,,Sutherland Precision Engineering,MP-000098,30585.23,Northern Cape Seals & Sealing Systems (Pty) Ltd,1,0,14,,true,2026-08-26T10:18:35.097269+00:00,2026-08-26T10:18:35.097269+00:00
99,80-10099,"Cone Crusher Mantle, coarse profile",Crusher Components,Cone Crusher Mantle,Gamsberg,GSB-PLANT-STORE,EA,CRITICAL,EOL,,Bushveld Precision Engineering,MP-000099,79975.3,Drakensberg Valve & Fittings (Pty) Ltd,1,0,7,0.355,true,2026-08-26T10:18:35.097269+00:00,2026-08-26T10:18:35.097269+00:00
100,500-10100,"Variable Speed Drive, 75kW",Electrical Spares,Variable Speed Drive,BMM,BMM-PLANT-STORE,EA,CRITICAL,Active,,Escarpment Pump Manufacturing,MP-000100,252899.84,Namaqua Electromechanical Ltd (Pty) Ltd,32,36,7,,true,2026-08-26T10:18:35.097269+00:00,2026-08-26T10:18:35.097269+00:00
101,500-10101,"Conveyor Belt, steel cord, 1200mm width",Conveyor Components,Conveyor Belt,Gamsberg,GSB-MAIN-WH,M,HIGH,EOL,,Bushveld Bearing Works,MP-000101,2411.03,Copperton Pump Solutions (Pty) Ltd,269,270,60,,true,2026-08-26T10:18:35.097269+00:00,2026-08-26T10:18:35.097269+00:00
102,80-10102,"Centrifugal Slurry Pump Impeller, Light duty, hard metal",Pumps,Centrifugal Slurry Pump Impeller,BMM,BMM-PLANT-STORE,EA,CRITICAL,Active,,Highveld Electromechanical Works,MP-000102,69143.92,Aggeneys Spares & Components (Pty) Ltd,23,26,14,0.351,true,2026-08-26T10:18:35.097269+00:00,2026-08-26T10:18:35.097269+00:00
103,500-10103,"Diaphragm Dosing Pump Head Assembly, Light duty",Pumps,Diaphragm Dosing Pump Head Assembly,Gamsberg,GSB-MINING-STORE,EA,MEDIUM,Active,,Sutherland Bearing Works,MP-000103,49053.74,Bushveld Electromechanical Ltd (Pty) Ltd,0,1,60,,true,2026-08-26T10:18:35.097269+00:00,2026-08-26T10:18:35.097269+00:00
104,500-10104,"Centrifugal Slurry Pump Impeller, High-head, hard metal",Pumps,Centrifugal Slurry Pump Impeller,BMM,BMM-WORKSHOP-STORE,EA,CRITICAL,Active,,Namaqua Bearing Works,MP-000104,158989.43,Springbok Engineering Supplies (Pty) Ltd,5,2,14,,true,2026-08-26T10:18:35.097269+00:00,2026-08-26T10:18:35.097269+00:00
105,500-10105,"Belt Scraper Blade Set, 650mm width, tungsten tip",Conveyor Components,Belt Scraper Blade Set,Gamsberg,GSB-MAIN-WH,SET,MEDIUM,Active,,Sutherland Seal Technologies,MP-000105,13504.96,Lowveld Valve & Fittings (Pty) Ltd,457,453,10,,true,2026-08-26T10:18:35.097269+00:00,2026-08-26T10:18:35.097269+00:00
106,500-10106,"Deep Groove Ball Bearing 6235-2RS, 35mm bore",Bearings,Deep Groove Ball Bearing 62-2RS,BMM,BMM-MAIN-WH,EA,HIGH,Active,,Sutherland Electromechanical Works,MP-000106,662.19,Kimberley Seals & Sealing Systems (Pty) Ltd,18,21,45,,true,2026-08-26T10:18:35.097269+00:00,2026-08-26T10:18:35.097269+00:00
107,500-10107,"Knife Gate Valve, 150mm (6""), rubber lined",Valves,Knife Gate Valve,Gamsberg,GSB-MAIN-WH,EA,HIGH,Active,,Highveld Seal Technologies,MP-000107,48555.47,Kimberley Industrial Supplies (Pty) Ltd,5,8,60,,true,2026-08-26T10:18:35.097269+00:00,2026-08-26T10:18:35.097269+00:00
108,500-10108,"Spherical Roller Bearing 22235, 35mm bore",Bearings,Spherical Roller Bearing 222,BMM,BMM-PLANT-STORE,EA,HIGH,Active,,Namaqua Valve Foundry,MP-000108,32027.57,Drakensberg Valve & Fittings (Pty) Ltd,25,17,60,,true,2026-08-26T10:18:35.097269+00:00,2026-08-26T10:18:35.097269+00:00
109,500-10109,"Troughing Idler Set, 1200mm belt width, 3-roll",Conveyor Components,Troughing Idler Set,Gamsberg,GSB-PLANT-STORE,EA,MEDIUM,Active,,Escarpment Bearing Works,MP-000109,5664.0,Vaal Industrial Supplies (Pty) Ltd,24,29,7,,true,2026-08-26T10:18:35.097269+00:00,2026-08-26T10:18:35.097269+00:00
110,500-10110,"Deep Groove Ball Bearing 6220-2RS, 20mm bore",Bearings,Deep Groove Ball Bearing 62-2RS,BMM,BMM-MAIN-WH,EA,HIGH,Active,,Escarpment Valve Foundry,MP-000110,3174.26,Aggeneys Spares & Components (Pty) Ltd,40,43,10,,true,2026-08-26T10:18:35.097269+00:00,2026-08-26T10:18:35.097269+00:00
111,500-10111,"Tapered Roller Bearing 32040, 40mm bore",Bearings,Tapered Roller Bearing 320,Gamsberg,GSB-MINING-STORE,EA,MEDIUM,Active,,Vaal Precision Engineering,MP-000111,907.69,Lowveld Valve & Fittings (Pty) Ltd,15,10,14,,true,2026-08-26T10:18:35.097269+00:00,2026-08-26T10:18:35.097269+00:00
112,80-10112,"Diaphragm Dosing Pump Head Assembly, Low-flow metering",Pumps,Diaphragm Dosing Pump Head Assembly,BMM,BMM-PLANT-STORE,EA,MEDIUM,Active,,Highveld Valve Foundry,MP-000112,38959.2,Lowveld Valve & Fittings (Pty) Ltd,1,5,7,0.359,true,2026-08-26T10:18:35.097269+00:00,2026-08-26T10:18:35.097269+00:00
113,500-10113,"Centrifugal Slurry Pump Impeller, Heavy duty slurry, hard metal",Pumps,Centrifugal Slurry Pump Impeller,Gamsberg,GSB-MAIN-WH,EA,CRITICAL,Active,,Bushveld Valve Foundry,MP-000113,68016.35,Upington Industrial Supplies (Pty) Ltd,13,11,60,,true,2026-08-26T10:18:35.097269+00:00,2026-08-26T10:18:35.097269+00:00
114,500-10114,"Tapered Roller Bearing 32090, 90mm bore",Bearings,Tapered Roller Bearing 320,BMM,BMM-PLANT-STORE,EA,MEDIUM,Active,,Highveld Pump Manufacturing,MP-000114,8005.52,Sutherland Pump Solutions (Pty) Ltd,28,29,21,,true,2026-08-26T10:18:35.097269+00:00,2026-08-26T10:18:35.097269+00:00
115,500-10115,"Ball Mill Grinding Media, 100mm, forged steel balls",Milling Components,Ball Mill Grinding Media,Gamsberg,GSB-MINING-STORE,TON,HIGH,Active,,Highveld Precision Engineering,MP-000115,26235.49,Waterberg Mining Equipment Traders (Pty) Ltd,130,134,21,,true,2026-08-26T10:18:35.097269+00:00,2026-08-26T10:18:35.097269+00:00
116,500-10116,"Slip Ring Induction Motor, 55kW, 6-pole",Motors,Slip Ring Induction Motor,BMM,BMM-PLANT-STORE,EA,CRITICAL,EOL,,Karoo Seal Technologies,MP-000116,150033.58,Kimberley Seals & Sealing Systems (Pty) Ltd,5,0,14,,true,2026-08-26T10:18:35.097269+00:00,2026-08-26T10:18:35.097269+00:00
117,500-10117,"Spherical Roller Bearing 22275, 75mm bore",Bearings,Spherical Roller Bearing 222,Gamsberg,GSB-MINING-STORE,EA,HIGH,Active,,Bushveld Electromechanical Works,MP-000117,33407.57,Drakensberg Valve & Fittings (Pty) Ltd,32,28,60,,true,2026-08-26T10:18:35.097269+00:00,2026-08-26T10:18:35.097269+00:00
118,500-10118,"Spherical Roller Bearing 22217, 17mm bore",Bearings,Spherical Roller Bearing 222,BMM,BMM-PLANT-STORE,EA,HIGH,Active,,Escarpment Wear Parts Casting,MP-000118,28030.75,Aggeneys Bearing & Drive Co (Pty) Ltd,27,31,14,,true,2026-08-26T10:18:35.097269+00:00,2026-08-26T10:18:35.097269+00:00
119,500-10119,"Tapered Roller Bearing 32017, 17mm bore",Bearings,Tapered Roller Bearing 320,Gamsberg,GSB-PLANT-STORE,EA,MEDIUM,Active,,Highveld Bearing Works,MP-000119,17846.37,Drakensberg Valve & Fittings (Pty) Ltd,24,20,7,,true,2026-08-26T10:18:35.097269+00:00,2026-08-26T10:18:35.097269+00:00
120,500-10120,"Density Meter, nuclear, 50mm (2"") pipe",Instrumentation,Density Meter,BMM,BMM-PLANT-STORE,EA,CRITICAL,Active,,Escarpment Seal Technologies,MP-000120,153312.71,Copperton Pump Solutions (Pty) Ltd,33,30,14,,true,2026-08-26T10:18:35.097269+00:00,2026-08-26T10:18:35.097269+00:00
121,500-10121,"Circuit Breaker, MCCB, 250A",Electrical Spares,Circuit Breaker,Gamsberg,GSB-MAIN-WH,EA,HIGH,EOL,,Highveld Wear Parts Casting,MP-000121,37197.03,Northern Cape Seals & Sealing Systems (Pty) Ltd,10,5,14,,true,2026-08-26T10:18:35.097269+00:00,2026-08-26T10:18:35.097269+00:00
122,500-10122,"Deep Groove Ball Bearing 6240-2RS, 40mm bore",Bearings,Deep Groove Ball Bearing 62-2RS,BMM,BMM-MAIN-WH,EA,HIGH,Active,,Bushveld Pump Manufacturing,MP-000122,2757.75,Vaal Industrial Supplies (Pty) Ltd,23,18,10,,true,2026-08-26T10:18:35.097269+00:00,2026-08-26T10:18:35.097269+00:00
123,500-10123,"Motor Drive Coupling, elastomeric, rated for 15kW",Motors,Motor Drive Coupling,Gamsberg,GSB-MINING-STORE,EA,MEDIUM,Active,,Karoo Electromechanical Works,MP-000123,24623.17,Namaqua Spares & Components (Pty) Ltd,28,30,45,,true,2026-08-26T10:18:35.097269+00:00,2026-08-26T10:18:35.097269+00:00
124,500-10124,"Slip Ring Induction Motor, 15kW, 6-pole",Motors,Slip Ring Induction Motor,BMM,BMM-WORKSHOP-STORE,EA,CRITICAL,EOL,,Sutherland Valve Foundry,MP-000124,61944.91,Kalahari Industrial Supplies (Pty) Ltd,31,33,21,,true,2026-08-26T10:18:35.097269+00:00,2026-08-26T10:18:35.097269+00:00
125,500-10125,"Level Transmitter, ultrasonic, 0-10m range",Instrumentation,Level Transmitter,Gamsberg,GSB-MAIN-WH,EA,HIGH,Active,,Vaal Electromechanical Works,MP-000125,12314.16,Aggeneys Bearing & Drive Co (Pty) Ltd,19,20,45,,true,2026-08-26T10:18:35.097269+00:00,2026-08-26T10:18:35.097269+00:00
126,80-10126,"Gland Packing Set, shaft 80mm, PTFE impregnated",Mechanical Seals,Gland Packing Set,BMM,BMM-MAIN-WH,SET,MEDIUM,Active,,Copperton Wear Parts Casting,MP-000126,4469.92,Escarpment Mining Equipment Traders (Pty) Ltd,154,158,60,0.446,true,2026-08-26T10:18:35.097269+00:00,2026-08-26T10:18:35.097269+00:00
127,500-10127,"Crusher Toggle Plate, standard rating",Crusher Components,Crusher Toggle Plate,Gamsberg,GSB-MAIN-WH,EA,HIGH,EOL,,Karoo Bearing Works,MP-000127,55926.41,Northern Cape Mining Equipment Traders (Pty) Ltd,4,9,60,,true,2026-08-26T10:18:35.097269+00:00,2026-08-26T10:18:35.097269+00:00
128,500-10128,"Spherical Roller Bearing 22290, 90mm bore",Bearings,Spherical Roller Bearing 222,BMM,BMM-WORKSHOP-STORE,EA,HIGH,Active,,Escarpment Precision Engineering,MP-000128,25419.99,Namaqua Electromechanical Ltd (Pty) Ltd,3,0,10,,true,2026-08-26T10:18:35.097269+00:00,2026-08-26T10:18:35.097269+00:00
129,500-10129,"Slip Ring Induction Motor, 11kW, 6-pole",Motors,Slip Ring Induction Motor,Gamsberg,GSB-MAIN-WH,EA,CRITICAL,EOL,,Vaal Pump Manufacturing,MP-000129,144118.93,Northern Cape Mining Equipment Traders (Pty) Ltd,38,35,7,,true,2026-08-26T10:18:35.097269+00:00,2026-08-26T10:18:35.097269+00:00
130,80-10130,"Butterfly Valve, 200mm (8""), wafer type",Valves,Butterfly Valve,BMM,BMM-PLANT-STORE,EA,MEDIUM,EOL,,Vaal Wear Parts Casting,MP-000130,24136.12,Orange River Bearing & Drive Co (Pty) Ltd,8,7,21,0.424,true,2026-08-26T10:18:35.097269+00:00,2026-08-26T10:18:35.097269+00:00
131,80-10131,"Butterfly Valve, 50mm (2""), wafer type",Valves,Butterfly Valve,Gamsberg,GSB-PLANT-STORE,EA,MEDIUM,Active,,Bushveld Wear Parts Casting,MP-000131,16179.54,Upington Industrial Supplies (Pty) Ltd,5,7,14,0.349,true,2026-08-26T10:18:35.097269+00:00,2026-08-26T10:18:35.097269+00:00
132,80-10132,"Diaphragm Dosing Pump Head Assembly, High-head",Pumps,Diaphragm Dosing Pump Head Assembly,BMM,BMM-PLANT-STORE,EA,MEDIUM,Obsolete,,Bushveld Seal Technologies,MP-000132,28726.7,Upington Industrial Supplies (Pty) Ltd,16,17,7,0.311,true,2026-08-26T10:18:35.097269+00:00,2026-08-26T10:18:35.097269+00:00
133,500-10133,"TEFC Induction Motor, 11kW, 4-pole, IE3",Motors,TEFC Induction Motor,Gamsberg,GSB-MAIN-WH,EA,HIGH,Active,,Sutherland Wear Parts Casting,MP-000133,150019.9,Kuruman Bearing & Drive Co (Pty) Ltd,10,2,14,,true,2026-08-26T10:18:35.097269+00:00,2026-08-26T10:18:35.097269+00:00
134,500-10134,"Pinch Valve, 50mm (2""), slurry service",Valves,Pinch Valve,BMM,BMM-MAIN-WH,EA,HIGH,Active,,Escarpment Electromechanical Works,MP-000134,48297.05,Kimberley Industrial Supplies (Pty) Ltd,30,25,14,,true,2026-08-26T10:18:35.097269+00:00,2026-08-26T10:18:35.097269+00:00
135,500-10135,"Level Transmitter, ultrasonic, 0-20m range",Instrumentation,Level Transmitter,Gamsberg,GSB-MINING-STORE,EA,HIGH,Active,,Namaqua Seal Technologies,MP-000135,40922.68,Kimberley Industrial Supplies (Pty) Ltd,24,24,7,,true,2026-08-26T10:18:35.097269+00:00,2026-08-26T10:18:35.097269+00:00
136,500-10136,"Troughing Idler Set, 800mm belt width, 3-roll",Conveyor Components,Troughing Idler Set,BMM,BMM-MAIN-WH,EA,MEDIUM,EOL,,Vaal Seal Technologies,MP-000136,6157.39,Northern Cape Seals & Sealing Systems (Pty) Ltd,26,28,14,,true,2026-08-26T10:18:35.097269+00:00,2026-08-26T10:18:35.097269+00:00
137,500-10137,"Pressure Transmitter, 0-10 bar range, 4-20mA",Instrumentation,Pressure Transmitter,Gamsberg,GSB-MAIN-WH,EA,HIGH,Active,,Namaqua Pump Manufacturing,MP-000137,31871.58,Karoo Pump Solutions (Pty) Ltd,36,40,60,,true,2026-08-26T10:18:35.097269+00:00,2026-08-26T10:18:35.097269+00:00
138,500-10138,"Centrifugal Slurry Pump Casing Liner, High-head",Pumps,Centrifugal Slurry Pump Casing Liner,BMM,BMM-WORKSHOP-STORE,EA,HIGH,Active,,Vaal Bearing Works,MP-000138,27715.05,Lowveld Electromechanical Ltd (Pty) Ltd,4,0,14,,true,2026-08-26T10:18:35.097269+00:00,2026-08-26T10:18:35.097269+00:00
139,500-10139,"Tapered Roller Bearing 32075, 75mm bore",Bearings,Tapered Roller Bearing 320,Gamsberg,GSB-PLANT-STORE,EA,MEDIUM,Active,,Vaal Valve Foundry,MP-000139,3888.11,Vaal Industrial Supplies (Pty) Ltd,35,28,10,,true,2026-08-26T10:18:35.097269+00:00,2026-08-26T10:18:35.097269+00:00
140,500-10140,"Gland Packing Set, shaft 25mm, PTFE impregnated",Mechanical Seals,Gland Packing Set,BMM,BMM-WORKSHOP-STORE,SET,MEDIUM,EOL,,Karoo Valve Foundry,MP-000140,3003.99,Bushveld Industrial Supplies (Pty) Ltd,468,469,60,,true,2026-08-26T10:18:35.097269+00:00,2026-08-26T10:18:35.097269+00:00
141,500-10141,"Tapered Roller Bearing 32020, 20mm bore",Bearings,Tapered Roller Bearing 320,Gamsberg,GSB-MAIN-WH,EA,MEDIUM,Active,,Copperton Electromechanical Works,MP-000141,19203.48,Karoo Pump Solutions (Pty) Ltd,22,23,14,,true,2026-08-26T10:18:35.097269+00:00,2026-08-26T10:18:35.097269+00:00
142,80-10142,"Seal Support System, API Plan 32, shaft 100mm",Mechanical Seals,Seal Support System,BMM,BMM-WORKSHOP-STORE,EA,HIGH,Active,,Copperton Precision Engineering,MP-000142,66301.09,Northern Cape Pump Solutions (Pty) Ltd,32,36,14,0.312,true,2026-08-26T10:18:35.097269+00:00,2026-08-26T10:18:35.097269+00:00
143,500-10143,"MCC Contactor, 150A, 3-pole",Electrical Spares,MCC Contactor,Gamsberg,GSB-MAIN-WH,EA,HIGH,Active,,Karoo Wear Parts Casting,MP-000143,12710.89,Aggeneys Spares & Components (Pty) Ltd,3,1,30,,true,2026-08-26T10:18:35.097269+00:00,2026-08-26T10:18:35.097269+00:00
144,500-10144,"TEFC Induction Motor, 7.5kW, 4-pole, IE3",Motors,TEFC Induction Motor,BMM,BMM-PLANT-STORE,EA,HIGH,EOL,,Copperton Valve Foundry,MP-000144,19364.22,Namaqua Spares & Components (Pty) Ltd,25,28,14,,true,2026-08-26T10:18:35.097269+00:00,2026-08-26T10:18:35.097269+00:00
145,500-10145,"Vertical Sump Pump Shaft Assembly, Medium duty",Pumps,Vertical Sump Pump Shaft Assembly,Gamsberg,GSB-MAIN-WH,EA,HIGH,Active,,Copperton Pump Manufacturing,MP-000145,31835.62,Drakensberg Valve & Fittings (Pty) Ltd,13,8,30,,true,2026-08-26T10:18:35.097269+00:00,2026-08-26T10:18:35.097269+00:00
146,500-10146,"Deep Groove Ball Bearing 6260-2RS, 60mm bore",Bearings,Deep Groove Ball Bearing 62-2RS,BMM,BMM-PLANT-STORE,EA,HIGH,Active,,Copperton Bearing Works,MP-000146,3014.44,Kimberley Valve & Fittings (Pty) Ltd,9,6,21,,true,2026-08-26T10:18:35.097269+00:00,2026-08-26T10:18:35.097269+00:00
147,500-10147,"Cone Crusher Concave Ring, extra-coarse profile",Crusher Components,Cone Crusher Concave Ring,Gamsberg,GSB-MINING-STORE,EA,CRITICAL,Active,,Copperton Seal Technologies,MP-000147,231770.8,Kimberley Industrial Supplies (Pty) Ltd,12,5,30,,true,2026-08-26T10:18:35.097269+00:00,2026-08-26T10:18:35.097269+00:00
148,500-10148,"Cone Crusher Concave Ring, coarse profile",Crusher Components,Cone Crusher Concave Ring,BMM,BMM-MAIN-WH,EA,CRITICAL,EOL,,Namaqua Precision Engineering,MP-000148,265440.35,Postmasburg Electromechanical Ltd (Pty) Ltd,0,3,7,,true,2026-08-26T10:18:35.097269+00:00,2026-08-26T10:18:35.097269+00:00
149,500-10149,"Spherical Roller Bearing 22225, 25mm bore",Bearings,Spherical Roller Bearing 222,Gamsberg,GSB-MAIN-WH,EA,HIGH,Active,,Sutherland Pump Manufacturing,MP-000149,6204.8,Kuruman Bearing & Drive Co (Pty) Ltd,38,31,7,,true,2026-08-26T10:18:35.097269+00:00,2026-08-26T10:18:35.097269+00:00
150,500-10150,"Conveyor Belt, steel cord, 1400mm width",Conveyor Components,Conveyor Belt,BMM,BMM-PLANT-STORE,M,HIGH,Active,,Karoo Pump Manufacturing,MP-000150,1645.19,Aggeneys Spares & Components (Pty) Ltd,336,339,14,,true,2026-08-26T10:18:35.097269+00:00,2026-08-26T10:18:35.097269+00:00
151,500-10151,"Mechanical Seal, shaft 38mm, tungsten carbide faces",Mechanical Seals,Mechanical Seal,Gamsberg,GSB-MAIN-WH,EA,HIGH,Active,,Namaqua Wear Parts Casting,MP-000151,43618.92,Kimberley Valve & Fittings (Pty) Ltd,13,17,30,,true,2026-08-26T10:18:35.097269+00:00,2026-08-26T10:18:35.097269+00:00
152,500-10152,"Butterfly Valve, 150mm (6""), wafer type",Valves,Butterfly Valve,BMM,BMM-WORKSHOP-STORE,EA,MEDIUM,Active,,Karoo Precision Engineering,MP-000152,28110.06,Kuruman Bearing & Drive Co (Pty) Ltd,26,30,7,,true,2026-08-26T10:18:35.097269+00:00,2026-08-26T10:18:35.097269+00:00
153,500-10153,"Density Meter, nuclear, 40mm (1.5"") pipe",Instrumentation,Density Meter,Gamsberg,GSB-MINING-STORE,EA,CRITICAL,Active,,Namaqua Electromechanical Works,MP-000153,213693.06,Northern Cape Seals & Sealing Systems (Pty) Ltd,36,28,45,,true,2026-08-26T10:18:35.097269+00:00,2026-08-26T10:18:35.097269+00:00
154,80-10154,"Motor Drive Coupling, elastomeric, rated for 55kW",Motors,Motor Drive Coupling,BMM,BMM-WORKSHOP-STORE,EA,MEDIUM,Active,,Sutherland Precision Engineering,MP-000154,2510.93,Orange River Bearing & Drive Co (Pty) Ltd,39,36,45,0.39,true,2026-08-26T10:18:35.097269+00:00,2026-08-26T10:18:35.097269+00:00
