recommendation_id,Matnr,Werks,material_description,criticality,demand_pattern,consumptions_12m,lead_time_days,current_rop,recommended_rop,current_safety_stock,recommended_safety_stock,current_max_stock,recommended_max_stock,recommendation_type,reason,status,created_on
REC-000210,000000000010000135,2000,PLC Digital Output Card 10/8 FLSM,NORMAL,SLOW,1,11,0.508,0.300,0.405,0.200,1.290,0.800,ROP_MAX_SAFETY_STOCK,Slow consumption of 0.2 per month over 24 months with a 11-day lead time gives a reorder point of 0.3 against the current 0.508.,APPROVED,2026-08-31
REC-000211,000000000010000136,3000,Hydraulic Power Pack TYPE B SIEMENS,NORMAL,SLOW,2,55,0.753,0.700,0.509,0.500,1.080,1.100,ROP_MAX_SAFETY_STOCK,Slow consumption of 0.1 per month over 24 months with a 55-day lead time gives a reorder point of 0.7 against the current 0.753.,PROPOSED,2026-07-22
REC-000212,000000000010000137,2000,PLC Digital Output Card DN150 METSO,CRITICAL,INTERMITTENT,6,47,6.899,7.500,4.762,5.200,15.836,12.000,ROP_MAX_SAFETY_STOCK,Intermittent consumption of 1.5 per month over 24 months with a 47-day lead time gives a reorder point of 7.5 against the current 6.899.,REJECTED,2026-06-14
REC-000213,000000000010000138,4000,MCC Feeder Circuit Breaker TYPE A METSO,INSURANCE,INTERMITTENT,6,41,7.415,4.600,4.516,2.800,7.458,8.600,ROP_MAX_SAFETY_STOCK,"Stock on hand 3 is below the current reorder point 7.415. At the INSURANCE service level of 90% and a 41-day lead time, the reorder point should be 4.6.",APPROVED,2026-07-05
REC-000214,000000000030000031,2000,Cyclone Apex Liner 200MM ABB,IMPACT,ON_DEMAND,2,21,0.000,5.000,0.000,3.600,0.000,10.900,OAR_TO_MIN_MAX,This OAR material is classified IMPACT on the critical parts list. Recommend Min-Max management with a reorder point of 5 and a maximum of 10.9.,APPROVED,2026-08-16
REC-000215,000000000010000140,2000,Conveyor Idler Roller Set 150MM MULTOTEC,NORMAL,INTERMITTENT,3,54,2.371,5.900,1.274,3.200,12.897,10.500,ROP_MAX_SAFETY_STOCK,Intermittent consumption of 1.5 per month over 24 months with a 54-day lead time gives a reorder point of 5.9 against the current 2.371.,APPROVED,2026-08-19
REC-000216,000000000010000140,3000,Conveyor Idler Roller Set 150MM MULTOTEC,NORMAL,INTERMITTENT,4,54,11.070,7.300,5.705,3.800,23.679,13.300,ROP_MAX_SAFETY_STOCK,Stock on hand 24 exceeds the current maximum 23.679. Consumption of 2.0 per month supports a maximum of 13.3.,PROPOSED,2026-07-27
REC-000217,000000000010000141,3000,Skirt Rubber Liner Section HD ABB,NORMAL,REGULAR,12,47,75.581,46.600,14.612,9.000,124.091,119.600,ROP_MAX_SAFETY_STOCK,"Stock on hand 32 is below the current reorder point 75.581. At the NORMAL service level of 85% and a 47-day lead time, the reorder point should be 46.6.",PROPOSED,2026-08-28
REC-000218,000000000080000039,4000,Centrifugal Pump Casing HD SKF,IMPACT,INTERMITTENT,5,10,1.849,1.600,1.461,1.300,7.366,4.700,ROP_MAX_SAFETY_STOCK,"Stock on hand 1 is below the current reorder point 1.849. At the IMPACT service level of 95% and a 10-day lead time, the reorder point should be 1.6.",PROPOSED,2026-05-21
REC-000219,000000000010000143,3000,Flow Meter Sensor Head 250MM METSO,CRITICAL,INTERMITTENT,0,142,6.311,4.200,4.232,2.800,6.311,5.100,ROP_MAX_SAFETY_STOCK,"Stock on hand 0 is below the current reorder point 6.311. At the CRITICAL service level of 98% and a 142-day lead time, the reorder point should be 4.2.",HELD,2026-07-07
REC-000220,000000000010000144,1000,Flow Meter Sensor Head 110KW SANDVIK,CRITICAL,INTERMITTENT,0,141,29.829,23.100,16.396,12.700,46.203,29.900,ROP_MAX_SAFETY_STOCK,"Stock on hand 0 is below the current reorder point 29.829. At the CRITICAL service level of 98% and a 141-day lead time, the reorder point should be 23.1.",HELD,2026-05-11
REC-000221,000000000030000032,1000,Centrifugal Pump Casing HD METSO,IMPACT,ON_DEMAND,2,29,0.000,5.400,0.000,3.700,0.000,10.700,OAR_TO_MIN_MAX,This OAR material is classified IMPACT on the critical parts list. Recommend Min-Max management with a reorder point of 5.4 and a maximum of 10.7.,APPROVED,2026-08-11
REC-000222,000000000030000033,2000,Variable Speed Drive Unit 8/6 ABB,IMPACT,ON_DEMAND,0,22,0.000,4.300,0.000,3.200,0.000,8.700,OAR_TO_MIN_MAX,This OAR material is classified IMPACT on the critical parts list. Recommend Min-Max management with a reorder point of 4.3 and a maximum of 8.7.,PROPOSED,2026-06-17
REC-000223,000000000010000146,3000,Centrifugal Pump Casing DN100 KSB,IMPACT,SLOW,2,41,4.058,2.600,2.812,1.800,4.058,4.300,ROP_MAX_SAFETY_STOCK,Stock on hand 6 exceeds the current maximum 4.058. Consumption of 0.6 per month supports a maximum of 4.3.,PROPOSED,2026-08-25
REC-000224,000000000010000146,1000,Centrifugal Pump Casing DN100 KSB,IMPACT,SLOW,4,41,1.502,1.300,1.009,0.900,3.052,2.300,ROP_MAX_SAFETY_STOCK,"Stock on hand 1 is below the current reorder point 1.502. At the IMPACT service level of 95% and a 41-day lead time, the reorder point should be 1.3.",APPROVED,2026-09-02
REC-000225,000000000080000040,1000,Pump Impeller HD KSB,CRITICAL,INTERMITTENT,4,109,11.120,9.700,6.679,5.800,14.697,12.900,ROP_MAX_SAFETY_STOCK,"Stock on hand 7 is below the current reorder point 11.12. At the CRITICAL service level of 98% and a 109-day lead time, the reorder point should be 9.7.",PROPOSED,2026-05-26
REC-000226,000000000010000147,3000,Hydraulic Power Pack 8/6 SIEMENS,NORMAL,INTERMITTENT,4,38,3.837,5.500,2.082,3.000,17.059,11.600,ROP_MAX_SAFETY_STOCK,Intermittent consumption of 2.0 per month over 24 months with a 38-day lead time gives a reorder point of 5.5 against the current 3.837.,APPROVED,2026-07-01
REC-000227,000000000090000007,3000,Crusher Hydroset Cylinder 6/4 SIEMENS,OBSOLETE,NO_DEMAND,0,9,0.000,,0.000,,1.000,,NO_SAFETY_STOCK,Obsolete material: no safety stock recommended. Candidate for stock reduction review.,PROPOSED,2026-06-11
REC-000228,000000000080000041,2000,Valve Assembly HD SKF,NORMAL,INTERMITTENT,6,23,2.379,1.400,1.324,0.800,5.754,3.800,ROP_MAX_SAFETY_STOCK,Intermittent consumption of 0.8 per month over 24 months with a 23-day lead time gives a reorder point of 1.4 against the current 2.379.,PROPOSED,2026-07-18
REC-000229,000000000080000042,4000,Mill Lube Pump Motor 6/4 KSB,IMPACT,INTERMITTENT,7,48,1.968,2.700,1.180,1.600,8.222,4.700,ROP_MAX_SAFETY_STOCK,Intermittent consumption of 0.7 per month over 24 months with a 48-day lead time gives a reorder point of 2.7 against the current 1.968.,APPROVED,2026-08-19
REC-000230,000000000010000148,2000,Mill Lube Pump Motor 8/6 SEW,NORMAL,INTERMITTENT,3,30,4.168,4.300,2.523,2.600,8.634,9.400,ROP_MAX_SAFETY_STOCK,Intermittent consumption of 1.7 per month over 24 months with a 30-day lead time gives a reorder point of 4.3 against the current 4.168.,PROPOSED,2026-07-08
REC-000231,000000000010000149,2000,Conveyor Idler Roller Set TYPE A SKF,CRITICAL,INTERMITTENT,8,102,9.984,6.000,6.010,3.600,9.984,8.100,ROP_MAX_SAFETY_STOCK,"Stock on hand 5 is below the current reorder point 9.984. At the CRITICAL service level of 98% and a 102-day lead time, the reorder point should be 6.",REJECTED,2026-05-14
REC-000232,000000000090000008,2000,Centrifugal Pump Casing 200MM WEIR,OBSOLETE,NO_DEMAND,0,15,0.000,,0.000,,1.000,,NO_SAFETY_STOCK,Obsolete material: no safety stock recommended. Candidate for stock reduction review.,PROPOSED,2026-06-11
REC-000233,000000000080000043,4000,Agitator Shaft Seal 200MM FLSM,IMPACT,INTERMITTENT,5,46,3.908,2.500,2.502,1.600,6.563,4.200,ROP_MAX_SAFETY_STOCK,Intermittent consumption of 0.6 per month over 24 months with a 46-day lead time gives a reorder point of 2.5 against the current 3.908.,APPROVED,2026-06-12
REC-000234,000000000010000150,2000,Conveyor Drive Motor 10/8 METSO,IMPACT,SLOW,4,39,1.684,1.300,1.176,0.900,1.968,2.200,ROP_MAX_SAFETY_STOCK,Stock on hand 2 exceeds the current maximum 1.968. Consumption of 0.3 per month supports a maximum of 2.2.,REJECTED,2026-06-28
REC-000235,000000000010000150,4000,Conveyor Drive Motor 10/8 METSO,IMPACT,SLOW,2,39,2.392,1.800,1.839,1.400,2.674,2.800,ROP_MAX_SAFETY_STOCK,Stock on hand 4 exceeds the current maximum 2.674. Consumption of 0.3 per month supports a maximum of 2.8.,APPROVED,2026-05-25
REC-000236,000000000010000151,1000,Slurry Pump Wet End Assembly 150MM METSO,CRITICAL,INTERMITTENT,3,74,7.012,8.300,4.876,5.800,20.462,11.400,ROP_MAX_SAFETY_STOCK,Intermittent consumption of 1.0 per month over 24 months with a 74-day lead time gives a reorder point of 8.3 against the current 7.012.,PROPOSED,2026-08-15
REC-000237,000000000010000151,2000,Slurry Pump Wet End Assembly 150MM METSO,CRITICAL,INTERMITTENT,4,74,4.920,3.900,3.381,2.700,7.395,5.400,ROP_MAX_SAFETY_STOCK,"Stock on hand 4 is below the current reorder point 4.92. At the CRITICAL service level of 98% and a 74-day lead time, the reorder point should be 3.9.",APPROVED,2026-08-24
REC-000238,000000000030000034,2000,Level Radar Transmitter HD SKF,CRITICAL,ON_DEMAND,3,102,0.000,12.800,0.000,7.900,0.000,17.200,OAR_TO_MIN_MAX,This OAR material is classified CRITICAL on the critical parts list. Recommend Min-Max management with a reorder point of 12.8 and a maximum of 17.2.,REJECTED,2026-05-17
REC-000239,000000000010000153,4000,Ball Mill Trunnion Bearing DN150 SKF,NORMAL,SLOW,1,25,0.668,0.600,0.464,0.400,1.571,1.200,ROP_MAX_SAFETY_STOCK,Stock on hand 2 exceeds the current maximum 1.571. Consumption of 0.2 per month supports a maximum of 1.2.,APPROVED,2026-05-25
REC-000240,000000000010000154,1000,Thickener Rake Seal Kit TYPE A SKF,NORMAL,REGULAR,10,55,24.036,56.300,3.559,8.300,209.602,135.900,ROP_MAX_SAFETY_STOCK,Regular consumption of 26.5 per month over 24 months with a 55-day lead time gives a reorder point of 56.3 against the current 24.036.,PROPOSED,2026-05-27
REC-000241,000000000010000155,2000,Screen Exciter Bearing DN100 MULTOTEC,CRITICAL,INTERMITTENT,3,30,4.132,3.200,3.188,2.500,7.262,5.500,ROP_MAX_SAFETY_STOCK,Intermittent consumption of 0.8 per month over 24 months with a 30-day lead time gives a reorder point of 3.2 against the current 4.132.,APPROVED,2026-07-23
REC-000242,000000000010000156,3000,Vertical Sump Pump Column DN100 KSB,CRITICAL,INTERMITTENT,4,122,16.441,10.100,9.897,6.100,22.551,13.100,ROP_MAX_SAFETY_STOCK,"Stock on hand 13 is below the current reorder point 16.441. At the CRITICAL service level of 98% and a 122-day lead time, the reorder point should be 10.1.",PROPOSED,2026-08-29
REC-000243,000000000010000157,1000,Flow Meter Sensor Head 200MM FLSM,NORMAL,INTERMITTENT,5,11,1.750,1.600,1.178,1.100,6.665,6.100,ROP_MAX_SAFETY_STOCK,Intermittent consumption of 1.5 per month over 24 months with a 11-day lead time gives a reorder point of 1.6 against the current 1.75.,APPROVED,2026-07-07
REC-000244,000000000080000044,3000,Hydraulic Pump Assembly HD SIEMENS,CRITICAL,INTERMITTENT,7,94,19.381,11.200,11.361,6.600,19.381,15.700,ROP_MAX_SAFETY_STOCK,"Stock on hand 19 is below the current reorder point 19.381. At the CRITICAL service level of 98% and a 94-day lead time, the reorder point should be 11.2.",APPROVED,2026-07-18
REC-000245,000000000080000045,3000,Conveyor Idler Roller Set 8/6 WEIR,NORMAL,INTERMITTENT,6,55,1.039,2.500,0.547,1.300,7.061,4.500,ROP_MAX_SAFETY_STOCK,"Stock on hand 0 is below the current reorder point 1.039. At the NORMAL service level of 85% and a 55-day lead time, the reorder point should be 2.5.",APPROVED,2026-07-15
REC-000246,000000000010000160,4000,Flow Meter Sensor Head DN100 KSB,NORMAL,INTERMITTENT,6,13,1.018,0.600,0.670,0.400,1.897,2.200,ROP_MAX_SAFETY_STOCK,"Stock on hand 0 is below the current reorder point 1.018. At the NORMAL service level of 85% and a 13-day lead time, the reorder point should be 0.6.",APPROVED,2026-07-13
REC-000247,000000000010000161,2000,Apron Feeder Gear Reducer TYPE B SKF,NORMAL,INTERMITTENT,4,49,1.930,1.800,1.195,1.100,2.357,3.000,ROP_MAX_SAFETY_STOCK,"Stock on hand 1 is below the current reorder point 1.93. At the NORMAL service level of 85% and a 49-day lead time, the reorder point should be 1.8.",PROPOSED,2026-07-29
REC-000248,000000000010000161,3000,Apron Feeder Gear Reducer TYPE B SKF,NORMAL,INTERMITTENT,2,49,4.911,4.000,3.092,2.500,6.403,6.800,ROP_MAX_SAFETY_STOCK,Stock on hand 7 exceeds the current maximum 6.403. Consumption of 0.9 per month supports a maximum of 6.8.,PROPOSED,2026-07-29
REC-000249,000000000090000009,3000,Thickener Rake Drive Gearbox DN150,OBSOLETE,NO_DEMAND,0,23,0.000,,0.000,,1.000,,NO_SAFETY_STOCK,Obsolete material: no safety stock recommended. Candidate for stock reduction review.,PROPOSED,2026-06-23
REC-000250,000000000080000046,3000,Crusher Hydroset Cylinder 150MM MULTOTEC,CRITICAL,INTERMITTENT,2,31,2.255,3.600,1.737,2.800,10.387,6.100,ROP_MAX_SAFETY_STOCK,Intermittent consumption of 0.8 per month over 24 months with a 31-day lead time gives a reorder point of 3.6 against the current 2.255.,PROPOSED,2026-08-16
REC-000251,000000000080000046,4000,Crusher Hydroset Cylinder 150MM MULTOTEC,CRITICAL,INTERMITTENT,4,31,3.500,3.500,2.512,2.500,6.858,6.400,ROP_MAX_SAFETY_STOCK,"Stock on hand 3 is below the current reorder point 3.5. At the CRITICAL service level of 98% and a 31-day lead time, the reorder point should be 3.5.",REJECTED,2026-06-04
REC-000252,000000000010000162,3000,Level Radar Transmitter HD WEIR,CRITICAL,INTERMITTENT,6,76,10.127,9.000,6.054,5.400,10.127,13.400,ROP_MAX_SAFETY_STOCK,Stock on hand 14 exceeds the current maximum 10.127. Consumption of 1.5 per month supports a maximum of 13.4.,APPROVED,2026-08-11
REC-000253,000000000010000163,1000,Pump Impeller HD MULTOTEC,IMPACT,INTERMITTENT,8,43,13.277,9.200,8.837,6.100,18.705,15.700,ROP_MAX_SAFETY_STOCK,"Stock on hand 12 is below the current reorder point 13.277. At the IMPACT service level of 95% and a 43-day lead time, the reorder point should be 9.2.",APPROVED,2026-07-13
REC-000254,000000000010000163,4000,Pump Impeller HD MULTOTEC,IMPACT,INTERMITTENT,6,43,4.700,5.100,2.805,3.000,11.317,9.500,ROP_MAX_SAFETY_STOCK,"Stock on hand 4 is below the current reorder point 4.7. At the IMPACT service level of 95% and a 43-day lead time, the reorder point should be 5.1.",PROPOSED,2026-07-13
REC-000255,000000000010000165,2000,Valve Assembly 8/6 SKF,NORMAL,REGULAR,9,9,13.653,10.600,5.442,4.200,79.976,75.500,ROP_MAX_SAFETY_STOCK,Regular consumption of 21.6 per month over 24 months with a 9-day lead time gives a reorder point of 10.6 against the current 13.653.,PROPOSED,2026-08-03
REC-000256,000000000030000036,4000,Conveyor Drive Gearbox HD WEIR,CRITICAL,ON_DEMAND,2,91,0.000,4.500,0.000,2.800,0.000,6.200,OAR_TO_MIN_MAX,This OAR material is classified CRITICAL on the critical parts list. Recommend Min-Max management with a reorder point of 4.5 and a maximum of 6.2.,PROPOSED,2026-05-15
REC-000257,000000000080000047,4000,Mill Lube Pump Motor 110KW FLSM,IMPACT,INTERMITTENT,6,17,5.002,3.100,3.852,2.400,6.124,7.000,ROP_MAX_SAFETY_STOCK,"Stock on hand 4 is below the current reorder point 5.002. At the IMPACT service level of 95% and a 17-day lead time, the reorder point should be 3.1.",HELD,2026-07-03
REC-000258,000000000080000047,2000,Mill Lube Pump Motor 110KW FLSM,IMPACT,INTERMITTENT,3,17,1.427,1.200,1.086,0.900,4.618,2.700,ROP_MAX_SAFETY_STOCK,"Stock on hand 1 is below the current reorder point 1.427. At the IMPACT service level of 95% and a 17-day lead time, the reorder point should be 1.2.",APPROVED,2026-05-17
REC-000259,000000000010000166,3000,Slurry Pump Mechanical Seal 150MM SEW,CRITICAL,INTERMITTENT,5,53,10.618,8.600,6.881,5.600,23.908,13.800,ROP_MAX_SAFETY_STOCK,Intermittent consumption of 1.8 per month over 24 months with a 53-day lead time gives a reorder point of 8.6 against the current 10.618.,HELD,2026-07-22
REC-000260,000000000010000167,2000,Conveyor Idler Roller Set DN150 ABB,CRITICAL,INTERMITTENT,0,32,4.986,4.300,4.031,3.500,8.786,6.700,ROP_MAX_SAFETY_STOCK,"Stock on hand 0 is below the current reorder point 4.986. At the CRITICAL service level of 98% and a 32-day lead time, the reorder point should be 4.3.",PROPOSED,2026-06-03
REC-000261,000000000010000168,3000,Ball Mill Gearbox Assembly 250KW SIEMENS,NORMAL,INTERMITTENT,4,28,3.746,2.200,2.201,1.300,8.289,5.200,ROP_MAX_SAFETY_STOCK,Intermittent consumption of 1.0 per month over 24 months with a 28-day lead time gives a reorder point of 2.2 against the current 3.746.,APPROVED,2026-05-25
REC-000262,000000000010000168,4000,Ball Mill Gearbox Assembly 250KW SIEMENS,NORMAL,INTERMITTENT,1,28,0.482,1.100,0.361,0.800,1.764,2.000,ROP_MAX_SAFETY_STOCK,"Stock on hand 0 is below the current reorder point 0.482. At the NORMAL service level of 85% and a 28-day lead time, the reorder point should be 1.1.",PROPOSED,2026-05-18
REC-000263,000000000010000169,3000,Flotation Blower Motor HD SANDVIK,INSURANCE,INTERMITTENT,5,146,9.440,5.800,3.918,2.400,10.586,7.900,ROP_MAX_SAFETY_STOCK,Stock on hand 12 exceeds the current maximum 10.586. Consumption of 0.7 per month supports a maximum of 7.9.,PROPOSED,2026-06-26
REC-000264,000000000010000170,1000,Flow Meter Sensor Head DN100 SANDVIK,IMPACT,SLOW,5,29,2.814,2.100,2.050,1.500,4.384,3.900,ROP_MAX_SAFETY_STOCK,"Stock on hand 2 is below the current reorder point 2.814. At the IMPACT service level of 95% and a 29-day lead time, the reorder point should be 2.1.",APPROVED,2026-07-27
REC-000265,000000000080000048,3000,PLC Digital Output Card 8/6 SANDVIK,IMPACT,INTERMITTENT,6,35,2.681,5.000,1.649,3.100,16.448,10.000,ROP_MAX_SAFETY_STOCK,Intermittent consumption of 1.7 per month over 24 months with a 35-day lead time gives a reorder point of 5 against the current 2.681.,PROPOSED,2026-07-17
REC-000266,000000000010000171,1000,Flotation Blower Motor TYPE B SKF,INSURANCE,INTERMITTENT,8,139,9.241,6.400,3.784,2.600,9.241,8.900,ROP_MAX_SAFETY_STOCK,"Stock on hand 6 is below the current reorder point 9.241. At the INSURANCE service level of 90% and a 139-day lead time, the reorder point should be 6.4.",HELD,2026-07-01
REC-000267,000000000010000172,2000,Slurry Pump Mechanical Seal DN150 WEIR,INSURANCE,INTERMITTENT,6,82,4.417,3.100,2.337,1.600,4.417,4.700,ROP_MAX_SAFETY_STOCK,"Stock on hand 4 is below the current reorder point 4.417. At the INSURANCE service level of 90% and a 82-day lead time, the reorder point should be 3.1.",PROPOSED,2026-06-12
REC-000268,000000000010000172,3000,Slurry Pump Mechanical Seal DN150 WEIR,INSURANCE,INTERMITTENT,4,82,6.425,3.900,3.478,2.100,6.425,5.900,ROP_MAX_SAFETY_STOCK,Stock on hand 10 exceeds the current maximum 6.425. Consumption of 0.7 per month supports a maximum of 5.9.,PROPOSED,2026-08-28
REC-000269,000000000010000173,4000,Flow Meter Sensor Head DN150 ABB,IMPACT,SLOW,2,45,2.323,2.000,1.755,1.500,2.972,3.000,ROP_MAX_SAFETY_STOCK,Stock on hand 3 exceeds the current maximum 2.972. Consumption of 0.3 per month supports a maximum of 3.,PROPOSED,2026-07-05
REC-000270,000000000080000049,3000,Conveyor Drive Gearbox TYPE B SKF,CRITICAL,INTERMITTENT,5,96,13.679,17.100,8.092,10.100,30.178,23.700,ROP_MAX_SAFETY_STOCK,"Stock on hand 1 is below the current reorder point 13.679. At the CRITICAL service level of 98% and a 96-day lead time, the reorder point should be 17.1.",APPROVED,2026-06-20
REC-000271,000000000010000174,3000,Conveyor Idler Roller Set 55KW SIEMENS,CRITICAL,INTERMITTENT,4,33,3.542,2.300,2.716,1.800,6.584,3.800,ROP_MAX_SAFETY_STOCK,Intermittent consumption of 0.5 per month over 24 months with a 33-day lead time gives a reorder point of 2.3 against the current 3.542.,APPROVED,2026-08-12
REC-000272,000000000010000175,1000,Mill Lube Pump Motor 55KW KSB,CRITICAL,INTERMITTENT,7,142,9.451,14.300,4.820,7.300,17.107,18.800,ROP_MAX_SAFETY_STOCK,Intermittent consumption of 1.5 per month over 24 months with a 142-day lead time gives a reorder point of 14.3 against the current 9.451.,HELD,2026-08-14
REC-000273,000000000010000177,1000,Gland Packing Seal Ring TYPE A SKF,CRITICAL,INTERMITTENT,4,223,19.297,11.700,9.232,5.600,19.297,14.200,ROP_MAX_SAFETY_STOCK,Stock on hand 21 exceeds the current maximum 19.297. Consumption of 0.8 per month supports a maximum of 14.2.,PROPOSED,2026-07-24
REC-000274,000000000010000178,1000,Flotation Cell Impeller TYPE A WEIR,IMPACT,REGULAR,12,47,55.328,55.300,14.403,14.400,175.708,134.700,ROP_MAX_SAFETY_STOCK,"Stock on hand 14 is below the current reorder point 55.328. At the IMPACT service level of 95% and a 47-day lead time, the reorder point should be 55.3.",HELD,2026-06-27
REC-000275,000000000010000179,2000,Cyclone Apex Liner DN150 WEIR,CRITICAL,INTERMITTENT,5,150,5.787,9.100,2.933,4.600,18.243,11.800,ROP_MAX_SAFETY_STOCK,Intermittent consumption of 0.9 per month over 24 months with a 150-day lead time gives a reorder point of 9.1 against the current 5.787.,REJECTED,2026-05-25
REC-000276,000000000080000050,3000,Ventilation Fan Motor 200MM SANDVIK,IMPACT,INTERMITTENT,4,16,4.032,3.100,3.114,2.400,11.950,7.100,ROP_MAX_SAFETY_STOCK,Intermittent consumption of 1.3 per month over 24 months with a 16-day lead time gives a reorder point of 3.1 against the current 4.032.,APPROVED,2026-06-12
REC-000277,000000000080000051,2000,PLC Digital Output Card 250KW METSO,IMPACT,INTERMITTENT,6,51,5.006,5.300,3.088,3.300,14.915,8.900,ROP_MAX_SAFETY_STOCK,"Stock on hand 5 is below the current reorder point 5.006. At the IMPACT service level of 95% and a 51-day lead time, the reorder point should be 5.3.",REJECTED,2026-08-23
REC-000278,000000000010000180,3000,Thickener Rake Drive Gearbox HD WEIR,NORMAL,REGULAR,9,11,5.039,4.300,1.138,1.000,25.464,31.800,ROP_MAX_SAFETY_STOCK,Regular consumption of 9.2 per month over 24 months with a 11-day lead time gives a reorder point of 4.3 against the current 5.039.,REJECTED,2026-06-11
REC-000279,000000000090000010,2000,Slurry Density Transmitter TYPE B SEW,OBSOLETE,NO_DEMAND,0,8,0.000,,0.000,,1.000,,NO_SAFETY_STOCK,Obsolete material: no safety stock recommended. Candidate for stock reduction review.,APPROVED,2026-08-22
REC-000280,000000000090000010,1000,Slurry Density Transmitter TYPE B SEW,OBSOLETE,NO_DEMAND,0,8,0.000,,0.000,,1.000,,NO_SAFETY_STOCK,Obsolete material: no safety stock recommended. Candidate for stock reduction review.,APPROVED,2026-08-20
REC-000281,000000000010000181,3000,Conveyor Drive Gearbox 250KW METSO,NORMAL,SLOW,3,45,0.981,1.000,0.590,0.600,1.373,1.800,ROP_MAX_SAFETY_STOCK,"Stock on hand 0 is below the current reorder point 0.981. At the NORMAL service level of 85% and a 45-day lead time, the reorder point should be 1.",PROPOSED,2026-09-01
REC-000282,000000000080000052,4000,Slurry Pump Mechanical Seal HD FLSM,CRITICAL,INTERMITTENT,2,142,10.025,5.800,6.694,3.900,10.025,7.000,ROP_MAX_SAFETY_STOCK,Stock on hand 18 exceeds the current maximum 10.025. Consumption of 0.4 per month supports a maximum of 7.,APPROVED,2026-06-06
REC-000283,000000000030000039,1000,Flotation Cell Impeller TYPE A MULTOTEC,IMPACT,ON_DEMAND,1,39,0.000,4.200,0.000,3.000,0.000,7.000,OAR_TO_MIN_MAX,This OAR material is classified IMPACT on the critical parts list. Recommend Min-Max management with a reorder point of 4.2 and a maximum of 7.,APPROVED,2026-06-07
REC-000284,000000000010000185,3000,Mill Liner 55KW SIEMENS,IMPACT,REGULAR,11,30,72.258,46.400,18.874,12.100,138.942,150.700,ROP_MAX_SAFETY_STOCK,Regular consumption of 34.8 per month over 24 months with a 30-day lead time gives a reorder point of 46.4 against the current 72.258.,REJECTED,2026-08-31
REC-000285,000000000010000185,2000,Mill Liner 55KW SIEMENS,IMPACT,REGULAR,11,30,18.303,31.300,4.626,7.900,125.739,102.500,ROP_MAX_SAFETY_STOCK,"Stock on hand 1 is below the current reorder point 18.303. At the IMPACT service level of 95% and a 30-day lead time, the reorder point should be 31.3.",APPROVED,2026-06-21
REC-000286,000000000010000187,4000,Skirt Rubber Liner Section 250KW SANDVIK,CRITICAL,INTERMITTENT,0,60,6.034,5.700,3.709,3.500,13.861,9.100,ROP_MAX_SAFETY_STOCK,"Stock on hand 0 is below the current reorder point 6.034. At the CRITICAL service level of 98% and a 60-day lead time, the reorder point should be 5.7.",APPROVED,2026-06-15
REC-000287,000000000010000188,2000,Flotation Blower Motor 110KW KSB,CRITICAL,INTERMITTENT,0,108,6.156,5.100,3.856,3.200,7.340,6.700,ROP_MAX_SAFETY_STOCK,"Stock on hand 0 is below the current reorder point 6.156. At the CRITICAL service level of 98% and a 108-day lead time, the reorder point should be 5.1.",APPROVED,2026-07-21
REC-000288,000000000010000188,4000,Flotation Blower Motor 110KW KSB,CRITICAL,INTERMITTENT,0,108,3.363,4.100,2.266,2.800,6.382,5.200,ROP_MAX_SAFETY_STOCK,"Stock on hand 0 is below the current reorder point 3.363. At the CRITICAL service level of 98% and a 108-day lead time, the reorder point should be 4.1.",HELD,2026-06-14
REC-000289,000000000080000053,1000,Flow Meter Sensor Head 10/8 METSO,IMPACT,INTERMITTENT,3,50,4.999,3.000,3.327,2.000,7.876,4.900,ROP_MAX_SAFETY_STOCK,Intermittent consumption of 0.6 per month over 24 months with a 50-day lead time gives a reorder point of 3 against the current 4.999.,APPROVED,2026-08-19
REC-000290,000000000010000189,4000,Flotation Cell Impeller 250KW SANDVIK,NORMAL,INTERMITTENT,4,28,0.615,1.400,0.381,0.900,5.656,3.100,ROP_MAX_SAFETY_STOCK,Intermittent consumption of 0.6 per month over 24 months with a 28-day lead time gives a reorder point of 1.4 against the current 0.615.,APPROVED,2026-06-01
REC-000291,000000000010000190,2000,Conveyor Take-Up Pulley 150MM FLSM,INSURANCE,INTERMITTENT,5,109,3.647,4.800,1.740,2.300,8.217,6.900,ROP_MAX_SAFETY_STOCK,"Stock on hand 2 is below the current reorder point 3.647. At the INSURANCE service level of 90% and a 109-day lead time, the reorder point should be 4.8.",APPROVED,2026-06-18
REC-000292,000000000010000191,1000,Spherical Roller Bearing TYPE B SIEMENS,INSURANCE,REGULAR,12,59,82.960,59.900,12.005,8.700,101.177,139.200,ROP_MAX_SAFETY_STOCK,Regular consumption of 26.4 per month over 24 months with a 59-day lead time gives a reorder point of 59.9 against the current 82.96.,PROPOSED,2026-06-17
REC-000293,000000000010000192,2000,Valve Assembly 10/8 WEIR,NORMAL,SLOW,1,14,0.339,0.600,0.273,0.500,1.310,1.400,ROP_MAX_SAFETY_STOCK,Slow consumption of 0.2 per month over 24 months with a 14-day lead time gives a reorder point of 0.6 against the current 0.339.,APPROVED,2026-07-16
